Wall time,Step,Value
1657646799.5122721,10000,0.0
1657647077.8391345,20000,0.0
1657647355.8600612,30000,0.0
1657647630.5770676,40000,0.0
1657647908.4391055,50000,0.0
1657648193.341204,60000,0.0
1657648465.5837865,70000,0.0
1657648729.6712108,80000,1.0
1657648990.24205,90000,1.0
1657649250.8621771,100000,1.0
1657649512.6215348,110000,1.0
1657649774.7722182,120000,1.0
1657650016.9000435,130000,1.0
1657650254.3024378,140000,1.0
1657650492.3843963,150000,1.0
1657650728.7789605,160000,1.0
1657650971.4598806,170000,2.0
1657651209.3612766,180000,2.0
1657651447.3285928,190000,3.0
1657651688.865215,200000,3.0
1657651924.482081,210000,3.0
1657652164.1503024,220000,3.0
1657652401.1820428,230000,4.0
1657652639.48886,240000,4.0
1657652877.3388343,250000,4.0
1657653114.7836924,260000,4.0
1657653375.6637895,270000,4.0
1657653634.1581297,280000,4.0
1657653896.5081177,290000,4.0
1657654132.7469409,300000,4.0
1657654369.285569,310000,4.0
1657654606.4416394,320000,4.0
1657654847.049525,330000,4.0
1657655085.5119977,340000,4.0
1657655325.2426386,350000,4.0
1657655562.8848855,360000,4.0
1657655801.3237302,370000,4.0
1657656037.4524283,380000,4.0
1657656271.387149,390000,4.0
1657656512.1956708,400000,4.0
1657656750.5843594,410000,5.0
1657656988.140632,420000,5.0
1657657225.5999017,430000,5.0
1657657467.7950492,440000,5.0
1657657720.7249436,450000,5.0
1657657988.6900718,460000,5.0
1657658255.6005352,470000,6.0
1657658511.4818122,480000,6.0
1657658774.7976696,490000,6.0
1657659037.9944215,500000,6.0
1657659301.576576,510000,6.0
1657659561.467991,520000,6.0
1657659827.7448397,530000,6.0
1657660065.4813445,540000,6.0
1657660300.7944891,550000,6.0
1657660539.531945,560000,6.0
1657660775.0843105,570000,6.0
1657661013.5498543,580000,6.0
1657661249.9336905,590000,6.0
1657661507.9967093,600000,6.0
1657661749.8985326,610000,6.0
1657661991.295882,620000,6.0
1657662225.8090239,630000,6.0
1657662464.6568687,640000,6.0
1657662700.301777,650000,6.0
1657662937.6748993,660000,6.0
1657663173.565575,670000,6.0
1657663411.6474402,680000,6.0
1657663648.0921698,690000,6.0
1657663887.1152065,700000,6.0
1657664123.765721,710000,6.0
1657664361.9553103,720000,6.0
1657664600.2723627,730000,6.0
1657664838.2706099,740000,6.0
1657665077.8688755,750000,6.0
1657665309.9980793,760000,6.0
1657665558.8905156,770000,6.0
1657665794.3597577,780000,6.0
1657666036.4674506,790000,6.0
1657666273.92,800000,6.0
1657666511.3592155,810000,6.0
1657666748.1974277,820000,6.0
1657666984.6280828,830000,6.0
1657667222.0871093,840000,6.0
1657667457.3356707,850000,6.0
1657667696.1974218,860000,6.0
1657667933.1402395,870000,6.0
1657668169.5927873,880000,6.0
1657668410.7863073,890000,6.0
1657668647.4663036,900000,6.0
1657668886.638939,910000,6.0
1657669122.5837183,920000,6.0
1657669359.856161,930000,6.0
1657669598.304377,940000,6.0
1657669834.910334,950000,6.0
1657670072.322686,960000,6.0
1657670311.5749202,970000,6.0
1657670548.6043348,980000,6.0
1657670786.3727932,990000,6.0
1657671024.7614202,1000000,6.0
1657671260.411239,1010000,6.0
1657671500.0783532,1020000,6.0
1657671738.8023021,1030000,6.0
1657671979.0784261,1040000,6.0
1657672213.9910114,1050000,6.0
1657672457.174779,1060000,6.0
1657672691.2182539,1070000,6.0
1657672933.0203028,1080000,6.0
1657673168.3578274,1090000,6.0
1657673406.4250147,1100000,6.0
1657673645.119779,1110000,6.0
1657673887.057052,1120000,6.0
1657674120.7923627,1130000,6.0
1657674355.2025938,1140000,6.0
1657674594.8004377,1150000,6.0
1657674830.1520176,1160000,6.0
1657675093.0625446,1170000,6.0
1657675330.4268076,1180000,6.0
1657675570.999825,1190000,6.0
1657675806.1682942,1200000,7.0
1657676041.0774755,1210000,7.0
1657676281.0775468,1220000,7.0
1657676518.5336983,1230000,7.0
1657676754.4993079,1240000,7.0
1657676993.2600255,1250000,7.0
1657677232.3973398,1260000,7.0
1657677466.7652626,1270000,7.0
1657677707.252671,1280000,7.0
1657677942.3544393,1290000,7.0
1657678179.7220078,1300000,7.0
1657678418.3188565,1310000,7.0
1657678654.1616144,1320000,7.0
1657678892.2734382,1330000,7.0
1657679129.0024812,1340000,7.0
1657679367.8545408,1350000,7.0
1657679607.7341087,1360000,7.0
1657679846.0344503,1370000,7.0
1657680081.4842556,1380000,7.0
1657680317.4492793,1390000,7.0
1657680558.1119776,1400000,7.0
1657680794.5922415,1410000,7.0
1657681032.564895,1420000,7.0
1657681271.0849438,1430000,7.0
1657681506.242333,1440000,7.0
1657681745.101293,1450000,7.0
1657681982.406369,1460000,7.0
1657682216.673677,1470000,7.0
1657682458.1760705,1480000,7.0
1657682691.0213523,1490000,7.0
1657682928.3092983,1500000,7.0
1657683166.0618799,1510000,7.0
1657683403.579233,1520000,7.0
1657683642.6985161,1530000,7.0
1657683878.3856678,1540000,7.0
1657684118.3674583,1550000,7.0
1657684355.1562195,1560000,7.0
1657684590.6612544,1570000,7.0
1657684830.0733364,1580000,7.0
1657685068.9469342,1590000,7.0
1657685303.524279,1600000,7.0
1657685544.0624,1610000,7.0
1657685781.9130273,1620000,7.0
1657686018.1988375,1630000,7.0
1657686256.2490003,1640000,7.0
1657686501.5046515,1650000,7.0
1657686763.6382668,1660000,7.0
1657687014.2822986,1670000,7.0
1657687254.0318713,1680000,7.0
1657687489.4578164,1690000,7.0
1657687725.90772,1700000,7.0
1657687964.6238067,1710000,7.0
1657688205.2747054,1720000,7.0
1657688440.986438,1730000,7.0
1657688675.4654953,1740000,7.0
1657688916.403786,1750000,7.0
1657689151.0558374,1760000,7.0
1657689386.805611,1770000,7.0
1657689627.8348887,1780000,7.0
1657689866.5906978,1790000,7.0
1657690107.3052282,1800000,7.0
1657690342.5715642,1810000,7.0
1657690581.7900436,1820000,7.0
1657690819.9906468,1830000,7.0
1657691054.2052813,1840000,7.0
1657691294.9751782,1850000,7.0
1657691528.714003,1860000,7.0
1657691766.7723322,1870000,7.0
1657692001.969877,1880000,7.0
1657692240.0594823,1890000,7.0
1657692479.0179267,1900000,7.0
1657692716.2839708,1910000,7.0
1657692954.1898406,1920000,7.0
1657693193.0433772,1930000,7.0
1657693428.5495527,1940000,7.0
1657693668.6637707,1950000,7.0
1657693906.5229597,1960000,7.0
1657694144.996793,1970000,7.0
1657694384.3086376,1980000,7.0
1657694621.340139,1990000,7.0
1657694859.6229565,2000000,7.0
1657695096.3899276,2010000,7.0
1657695336.1359947,2020000,7.0
1657695572.7701683,2030000,7.0
1657695811.6582232,2040000,7.0
1657696046.607106,2050000,7.0
1657696287.5902534,2060000,7.0
1657696525.0624669,2070000,7.0
1657696764.5006483,2080000,7.0
1657696999.3150496,2090000,7.0
1657697238.1529565,2100000,7.0
1657697476.2288148,2110000,7.0
1657697713.517394,2120000,7.0
1657697951.7469823,2130000,7.0
1657698190.3016686,2140000,7.0
1657698429.8707004,2150000,7.0
1657698666.10123,2160000,7.0
1657698904.9893565,2170000,7.0
1657699148.5572116,2180000,8.0
1657699387.6331658,2190000,8.0
1657699628.527134,2200000,8.0
1657699866.1029248,2210000,8.0
1657700107.192687,2220000,8.0
1657700335.9516718,2230000,8.0
1657700575.941934,2240000,8.0
1657700812.5425117,2250000,8.0
1657701048.9400945,2260000,8.0
1657701290.8579488,2270000,8.0
1657701529.2733834,2280000,8.0
1657701766.6236446,2290000,8.0
1657702001.7420306,2300000,8.0
1657702241.8986814,2310000,8.0
1657702481.868569,2320000,8.0
1657702717.5861185,2330000,8.0
1657702962.278391,2340000,8.0
1657703198.8988042,2350000,8.0
1657703437.4497144,2360000,8.0
1657703672.24421,2370000,8.0
1657703912.2898862,2380000,8.0
1657704151.322248,2390000,8.0
1657704389.3203824,2400000,8.0
1657704630.120794,2410000,8.0
1657704869.1373515,2420000,8.0
1657705105.9686093,2430000,8.0
1657705344.5228708,2440000,8.0
1657705584.4313536,2450000,8.0
1657705820.2389233,2460000,8.0
1657706058.6079109,2470000,8.0
1657706298.7865148,2480000,8.0
1657706537.1758852,2490000,8.0
1657706776.5987408,2500000,8.0
1657707013.7332344,2510000,8.0
1657707252.0119393,2520000,8.0
1657707490.9127514,2530000,8.0
1657707733.552334,2540000,8.0
1657707969.244027,2550000,8.0
1657708208.3228898,2560000,8.0
1657708448.3422318,2570000,8.0
1657708685.6172752,2580000,8.0
1657708919.6632776,2590000,8.0
1657709159.2237134,2600000,8.0
1657709398.6868749,2610000,8.0
1657709634.179619,2620000,8.0
1657709874.13744,2630000,9.0
1657710112.8440826,2640000,9.0
1657710351.0118651,2650000,9.0
1657710589.4705153,2660000,9.0
1657710830.73741,2670000,9.0
1657711068.9750428,2680000,9.0
1657711309.6973414,2690000,9.0
1657711543.861952,2700000,9.0
1657711783.0649931,2710000,9.0
1657712039.7277734,2720000,9.0
1657712279.3247442,2730000,9.0
1657712516.4142313,2740000,9.0
1657712757.368264,2750000,9.0
1657712993.9485989,2760000,9.0
1657713234.4700332,2770000,9.0
1657713470.47304,2780000,9.0
1657713711.8619533,2790000,9.0
1657713952.1401582,2800000,9.0
1657714192.6274242,2810000,9.0
1657714430.144009,2820000,9.0
1657714665.646962,2830000,9.0
1657714907.4623916,2840000,9.0
1657715146.495641,2850000,9.0
1657715385.5209224,2860000,9.0
1657715620.4061325,2870000,9.0
1657715858.4694748,2880000,9.0
1657716098.555138,2890000,9.0
1657716338.7352629,2900000,9.0
1657716577.5386662,2910000,9.0
1657716815.569006,2920000,9.0
1657717054.1823015,2930000,9.0
1657717293.8280845,2940000,9.0
1657717531.3727462,2950000,9.0
1657717771.5155528,2960000,9.0
1657718007.2669683,2970000,9.0
1657718247.4229286,2980000,9.0
1657718484.079115,2990000,9.0
1657718720.6974301,3000000,9.0
