Wall time,Step,Value
1657646799.51127,10000,1.4189382791519165
1657647077.8401375,20000,1.420581579208374
1657647355.8620594,30000,1.4216891527175903
1657647630.576068,40000,1.4221142530441284
1657647908.4381032,50000,1.422045111656189
1657648193.3402054,60000,1.4215834140777588
1657648465.5827875,70000,1.4209948778152466
1657648729.6712108,80000,1.420257329940796
1657648990.2410595,90000,1.419507384300232
1657649250.8611772,100000,1.4185527563095093
1657649512.6215348,110000,1.4174025058746338
1657649774.7712193,120000,1.416417121887207
1657650016.8990457,130000,1.4155967235565186
1657650254.3024378,140000,1.4148482084274292
1657650492.3843963,150000,1.413895606994629
1657650728.7779608,160000,1.4125609397888184
1657650971.4598806,170000,1.4110429286956787
1657651209.3572752,180000,1.409528136253357
1657651447.327591,190000,1.4082229137420654
1657651688.865215,200000,1.4072587490081787
1657651924.4810815,210000,1.4065566062927246
1657652164.1503024,220000,1.405829668045044
1657652401.1830413,230000,1.4049882888793945
1657652639.48886,240000,1.4041486978530884
1657652877.3378346,250000,1.4035327434539795
1657653114.782693,260000,1.4033417701721191
1657653375.6637895,270000,1.4031306505203247
1657653634.1581297,280000,1.402716040611267
1657653896.507118,290000,1.4022295475006104
1657654132.7469409,300000,1.4017717838287354
1657654369.2865698,310000,1.4012696743011475
1657654606.4406402,320000,1.4007636308670044
1657654847.049525,330000,1.4004881381988525
1657655085.5109963,340000,1.4003645181655884
1657655325.2416394,350000,1.3997586965560913
1657655562.8838856,360000,1.3991349935531616
1657655801.3247297,370000,1.3984217643737793
1657656037.4514253,380000,1.3979130983352661
1657656271.387149,390000,1.397599458694458
1657656512.191672,400000,1.3971444368362427
1657656750.5843594,410000,1.396549105644226
1657656988.1426332,420000,1.3959592580795288
1657657225.598903,430000,1.395315408706665
1657657467.79405,440000,1.3946713209152222
1657657720.7259398,450000,1.3937863111495972
1657657988.6900718,460000,1.39292573928833
1657658255.6005352,470000,1.39230477809906
1657658511.4818122,480000,1.391905426979065
1657658774.7976696,490000,1.3916044235229492
1657659037.9934218,500000,1.391235113143921
1657659301.5755765,510000,1.3910307884216309
1657659561.467991,520000,1.3910332918167114
1657659827.7448397,530000,1.3911821842193604
1657660065.4803452,540000,1.391471266746521
1657660300.7944891,550000,1.3917393684387207
1657660539.531945,560000,1.391747236251831
1657660775.0833104,570000,1.3915181159973145
1657661013.5498543,580000,1.3911105394363403
1657661249.9326875,590000,1.3906323909759521
1657661507.9967093,600000,1.3902311325073242
1657661749.897532,610000,1.389889121055603
1657661991.2978806,620000,1.389463186264038
1657662225.8090239,630000,1.3889933824539185
1657662464.6568687,640000,1.3886595964431763
1657662700.301777,650000,1.3883066177368164
1657662937.6708992,660000,1.3880709409713745
1657663173.5645735,670000,1.3878508806228638
1657663411.6464403,680000,1.38755202293396
1657663648.0921698,690000,1.3872060775756836
1657663887.114207,700000,1.386859655380249
1657664123.765721,710000,1.3864588737487793
1657664361.9543116,720000,1.3861515522003174
