Wall time,Step,Value
1658448770.2310202,10000,1.0
1658449099.1406999,20000,2.307692289352417
1658449364.6365454,30000,5.214285850524902
1658449651.9914868,40000,7.769230842590332
1658449921.6734157,50000,7.599999904632568
1658450202.8594773,60000,9.75
1658450494.019194,70000,12.5
1658450762.7480068,80000,11.5
1658451046.418723,90000,11.5
1658451330.6189296,100000,11.666666984558105
1658451600.5612643,110000,11.466666221618652
1658451883.1220548,120000,14.699999809265137
1658452150.533614,130000,17.799999237060547
1658452434.729095,140000,17.0
1658452699.8732915,150000,19.0
1658452984.440416,160000,16.454545974731445
1658453272.410031,170000,17.0
1658453545.590134,180000,18.0625
1658453807.1668167,190000,24.600000381469727
1658454072.6360886,200000,20.5
1658454350.5487456,210000,21.0
1658454621.2164903,220000,22.399999618530273
1658454888.8783815,230000,21.285715103149414
1658455164.7860675,240000,21.5
1658455450.953213,250000,22.230770111083984
1658455716.8236883,260000,22.090909957885742
1658455985.082181,270000,25.352941513061523
1658456269.3520792,280000,25.5
1658456532.683698,290000,29.88888931274414
1658456802.840768,300000,30.66666603088379
1658457084.4031794,310000,27.399999618530273
1658457349.9438217,320000,33.66666793823242
1658457613.9037502,330000,31.0
1658457906.4278343,340000,27.25
1658458160.8863568,350000,24.0
1658458432.527759,360000,26.5
1658458695.1830683,370000,24.66666603088379
1658458979.100571,380000,22.5
1658459243.291068,390000,30.75
1658459508.5866578,400000,35.0
1658459791.9348242,410000,31.0
1658460059.3065898,420000,33.25
1658460321.6333766,430000,34.0
1658460589.9492073,440000,33.5
1658460857.9247756,450000,19.0
1658461137.2744882,460000,37.0
1658461401.5134275,470000,39.0
1658461670.4308352,480000,28.5
1658461938.0016873,490000,34.0
1658462202.3400974,500000,32.66666793823242
1658462486.36025,510000,32.0
1658463047.1344538,530000,21.0
1658463302.1350813,540000,30.0
1658463567.9244115,550000,39.0
1658463837.093735,560000,43.0
1658464104.3571754,570000,31.0
1658464386.0780694,580000,41.5
1658464649.8085017,590000,33.5
1658464944.9135072,600000,31.66666603088379
1658465206.4197128,610000,39.0
1658465474.4222646,620000,43.0
1658465746.9440985,630000,35.75
1658466028.2944512,640000,38.0
1658466307.3133113,650000,37.44444274902344
1658466616.4708645,660000,37.0
1658467158.5644732,680000,45.5
1658467429.17623,690000,38.5
1658467988.5447636,710000,42.0
1658468258.6599894,720000,38.0
1658468527.5541368,730000,39.25
1658468797.2590003,740000,35.0
1658469639.2407432,770000,36.0
1658469923.5789824,780000,40.33333206176758
1658470203.1382124,790000,40.0
1658470491.5916626,800000,41.5
1658470774.8060577,810000,37.66666793823242
1658471056.2827356,820000,49.33333206176758
1658471884.859704,850000,38.0
1658472155.48563,860000,39.5
1658472443.1287262,870000,42.33333206176758
1658472716.3143847,880000,37.0
1658473548.839453,910000,35.5
1658473820.7146354,920000,38.5
1658474378.3378115,940000,44.0
1658474644.8372512,950000,45.0
1658474917.5946095,960000,40.0
1658475210.426221,970000,41.0
1658475474.3061564,980000,43.0
1658475744.890666,990000,44.33333206176758
1658476017.581111,1000000,46.0
1658476288.1331391,1010000,42.83333206176758
1658476561.1006885,1020000,47.5
1658477122.7132733,1040000,48.0
1658477395.7763102,1050000,44.0
1658477937.5166912,1070000,47.5
1658478211.5755274,1080000,48.5
1658479042.4238808,1110000,43.5
1658479313.1499643,1120000,47.0
1658479584.5460646,1130000,42.66666793823242
1658479859.3097198,1140000,44.5
1658480128.8852596,1150000,46.0
1658480691.2374332,1170000,49.0
1658480968.7758582,1180000,56.33333206176758
1658482060.129929,1220000,51.25
1658482625.2738993,1240000,52.5
1658482903.5352933,1250000,50.66666793823242
1658483172.5036235,1260000,40.5
1658483442.3310418,1270000,43.5
1658483739.9985964,1280000,54.5
1658484000.2064195,1290000,48.66666793823242
1658484270.5152535,1300000,53.0
1658484543.2088096,1310000,52.0
1658489608.145179,1010000,1.0
1658489869.47924,1020000,1.875
1658490100.402915,1030000,1.0
1658490357.4010096,1040000,2.0
1658490594.9400988,1050000,3.5
1658490824.704224,1060000,4.0
1658491058.387587,1070000,4.0
1658491299.5199637,1080000,1.0
1658491773.9225082,1100000,3.3333332538604736
1658492235.5196214,1120000,7.0
1658492675.0439014,1140000,3.0
1658492911.51103,1150000,2.0
1658493124.2771919,1160000,4.0
1658493344.599403,1170000,3.0
1658493569.0537944,1180000,3.5
1658493799.742312,1190000,6.0
1658494024.5342057,1200000,4.0
1658494697.4982662,1230000,4.5
1658494916.662004,1240000,5.0
1658495131.641498,1250000,6.0
1658495354.170012,1260000,4.0
1658495576.263357,1270000,5.0
1658495817.8112755,1280000,9.0
1658496032.413631,1290000,6.400000095367432
1658496256.4059687,1300000,8.399999618530273
1658496913.9368823,1330000,9.5
1658497128.8688567,1340000,12.5
1658497578.761072,1360000,6.0
1658497804.885023,1370000,10.0
1658498025.7684221,1380000,7.0
1658498248.6571283,1390000,9.0
1658498488.166922,1400000,10.666666984558105
1658498712.0355718,1410000,8.666666984558105
1658499147.228732,1430000,14.0
1658499362.8741224,1440000,8.0
1658499579.8755999,1450000,10.0
1658499801.2872717,1460000,9.333333015441895
